In-State Tuition,Out-of-State Tuition,Median Earnings (10 yrs),School Name,State
,,,Waynes College of Beauty,CA
1380.0,10110.0,37633.0,Coalinga College,CA
1238.0,9870.0,38537.0,West Los Angeles College,CA
1490.0,8810.0,51688.0,West Valley College,CA
,,39633.0,Carrington College-Sacramento,CA
,,,Westminster Theological Seminary in California,CA
50066.0,50066.0,64778.0,Westmont College,CA
49864.0,49864.0,59492.0,Whittier College,CA
44908.0,44908.0,65668.0,Woodbury University,CA
,,,The Wright Institute,CA
,,,Thomas Jefferson School of Law,CA
15700.0,15700.0,48361.0,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,CA
1128.0,7488.0,39552.0,Yuba College,CA
9776.0,21848.0,44372.0,Adams State University,CO
1946.0,10850.0,41887.0,Aims Community College,CO
4080.0,15502.0,48341.0,Arapahoe Community College,CO
13819.0,13819.0,39506.0,Bel-Rea Institute of Animal Technology,CO
9562.0,26818.0,64270.0,University of Colorado Denver/Anschutz Medical Campus,CO
9129.0,22041.0,54659.0,University of Colorado Colorado Springs,CO
16576.0,16576.0,59093.0,Spartan College of Aeronautics and Technology,CO
13106.0,40356.0,69738.0,University of Colorado Boulder,CO
37432.0,37432.0,50416.0,Colorado Christian University,CO
65028.0,65028.0,65222.0,Colorado College,CO
,,42456.0,Concorde Career College-Aurora,CO
2580.0,11820.0,44127.0,Colorado Mountain College,CO
4236.0,6740.0,43526.0,Colorado Northwestern Community College,CO
20040.0,42120.0,97335.0,Colorado School of Mines,CO
,,51591.0,Colorado School of Trades,CO
12874.0,32734.0,60543.0,Colorado State University-Fort Collins,CO
12696.0,12696.0,37180.0,Colorado Technical University-Colorado Springs,CO
4030.0,15832.0,44592.0,Community College of Aurora,CO
,,45516.0,Technical College of the Rockies,CO
4586.0,16235.0,39095.0,Community College of Denver,CO
,,46396.0,Lincoln College of Technology-Denver,CO
,,,Denver Seminary,CO
56439.0,56439.0,71155.0,University of Denver,CO
,,35487.0,Emily Griffith Technical College,CO
9212.0,19724.0,46349.0,Fort Lewis College,CO
4126.0,15776.0,45910.0,Front Range Community College,CO
,,,Iliff School of Theology,CO
,,22332.0,International Salon and Spa Academy,CO
4216.0,6720.0,38719.0,Lamar Community College,CO
9297.0,23019.0,45823.0,Colorado Mesa University,CO
